row,col,bNTI,RCbray,process,row.country,row.site,row.landuse,col.country,col.site,col.landuse,pair_scale,pair_landu
K02,K54,-2.34914897318801,1,Homogeneous Selection,Kenya,D,Natural,Kenya,F,Farm,across_site_within_country,cross_landuse
K02,M01,-2.00911916463268,0.98,Homogeneous Selection,Kenya,D,Natural,Malawi,G,Natural,across_site_btw_country,Natural
K02,M02,-2.27802277702547,0.97,Homogeneous Selection,Kenya,D,Natural,Malawi,G,Natural,across_site_btw_country,Natural
K02,M03,-2.11209456905511,1,Homogeneous Selection,Kenya,D,Natural,Malawi,G,Natural,across_site_btw_country,Natural
K02,M04,-1.58311264083084,0.99,Dispersal Limitation,Kenya,D,Natural,Malawi,G,Natural,across_site_btw_country,Natural
K02,M05,-2.37370043293167,0.99,Homogeneous Selection,Kenya,D,Natural,Malawi,G,Natural,across_site_btw_country,Natural
K02,M06,-2.44341075269045,0.93,Homogeneous Selection,Kenya,D,Natural,Malawi,G,Natural,across_site_btw_country,Natural
K02,M07,-2.17011777582059,0.98,Homogeneous Selection,Kenya,D,Natural,Malawi,G,Natural,across_site_btw_country,Natural
K02,M08,-1.9076416190186,0.98,Dispersal Limitation,Kenya,D,Natural,Malawi,G,Natural,across_site_btw_country,Natural
K02,M09,-2.27693789189791,0.97,Homogeneous Selection,Kenya,D,Natural,Malawi,G,Natural,across_site_btw_country,Natural
K02,M10,-2.14895577006848,1,Homogeneous Selection,Kenya,D,Natural,Malawi,G,Farm,across_site_btw_country,cross_landuse
K02,M11,-2.03369345896144,1,Homogeneous Selection,Kenya,D,Natural,Malawi,G,Farm,across_site_btw_country,cross_landuse
K02,M12,-2.00724066858864,1,Homogeneous Selection,Kenya,D,Natural,Malawi,G,Farm,across_site_btw_country,cross_landuse
K02,M13,-2.28289701474182,1,Homogeneous Selection,Kenya,D,Natural,Malawi,G,Farm,across_site_btw_country,cross_landuse
K02,M14,-2.52434921581866,1,Homogeneous Selection,Kenya,D,Natural,Malawi,G,Farm,across_site_btw_country,cross_landuse
K02,M15,-2.40593472710346,1,Homogeneous Selection,Kenya,D,Natural,Malawi,G,Farm,across_site_btw_country,cross_landuse
K02,M16,-2.16205290400821,1,Homogeneous Selection,Kenya,D,Natural,Malawi,G,Farm,across_site_btw_country,cross_landuse
K02,M17,-2.34016121081809,1,Homogeneous Selection,Kenya,D,Natural,Malawi,G,Farm,across_site_btw_country,cross_landuse
K02,M18,-2.07220400718089,1,Homogeneous Selection,Kenya,D,Natural,Malawi,G,Farm,across_site_btw_country,cross_landuse
K02,M19,-2.65962127883876,0.99,Homogeneous Selection,Kenya,D,Natural,Malawi,H,Natural,across_site_btw_country,Natural
K02,M20,-2.79867430117167,0.99,Homogeneous Selection,Kenya,D,Natural,Malawi,H,Natural,across_site_btw_country,Natural
K02,M21,-2.75784166280826,0.99,Homogeneous Selection,Kenya,D,Natural,Malawi,H,Natural,across_site_btw_country,Natural
K02,M22,-2.17195792252393,0.99,Homogeneous Selection,Kenya,D,Natural,Malawi,H,Natural,across_site_btw_country,Natural
K02,M23,-2.43371015025134,1,Homogeneous Selection,Kenya,D,Natural,Malawi,H,Natural,across_site_btw_country,Natural
K02,M24,-2.75122228436947,1,Homogeneous Selection,Kenya,D,Natural,Malawi,H,Natural,across_site_btw_country,Natural
K02,M25,-2.1023048204643,0.98,Homogeneous Selection,Kenya,D,Natural,Malawi,H,Natural,across_site_btw_country,Natural
K02,M26,-2.59465557169781,1,Homogeneous Selection,Kenya,D,Natural,Malawi,H,Natural,across_site_btw_country,Natural
K02,M27,-2.47564436170757,1,Homogeneous Selection,Kenya,D,Natural,Malawi,H,Natural,across_site_btw_country,Natural
K02,M28,-1.837679398937,1,Dispersal Limitation,Kenya,D,Natural,Malawi,H,Farm,across_site_btw_country,cross_landuse
K02,M29,-2.20218054223279,1,Homogeneous Selection,Kenya,D,Natural,Malawi,H,Farm,across_site_btw_country,cross_landuse
K02,M30,-1.7478102724368,1,Dispersal Limitation,Kenya,D,Natural,Malawi,H,Farm,across_site_btw_country,cross_landuse
K02,M31,-2.3179608935461,1,Homogeneous Selection,Kenya,D,Natural,Malawi,H,Farm,across_site_btw_country,cross_landuse
K02,M32,-1.84506917474806,1,Dispersal Limitation,Kenya,D,Natural,Malawi,H,Farm,across_site_btw_country,cross_landuse
K02,M33,-1.57791923584129,1,Dispersal Limitation,Kenya,D,Natural,Malawi,H,Farm,across_site_btw_country,cross_landuse
K02,M34,-2.37944301926709,1,Homogeneous Selection,Kenya,D,Natural,Malawi,H,Farm,across_site_btw_country,cross_landuse
K02,M35,-2.30322873520312,1,Homogeneous Selection,Kenya,D,Natural,Malawi,H,Farm,across_site_btw_country,cross_landuse
K02,M36,-2.31499800404135,1,Homogeneous Selection,Kenya,D,Natural,Malawi,H,Farm,across_site_btw_country,cross_landuse
K03,K04,-1.90684639134017,-0.96,Homogenizing Dispersal,Kenya,D,Natural,Kenya,D,Natural,within_site,Natural
K03,K05,-3.34069155727895,-0.99,Homogeneous Selection,Kenya,D,Natural,Kenya,D,Natural,within_site,Natural
K03,K06,-1.61586914453229,-0.98,Homogenizing Dispersal,Kenya,D,Natural,Kenya,D,Natural,within_site,Natural
K03,K07,-2.07558572967285,-1,Homogeneous Selection,Kenya,D,Natural,Kenya,D,Natural,within_site,Natural
K03,K08,-1.30787351363304,-0.99,Homogenizing Dispersal,Kenya,D,Natural,Kenya,D,Natural,within_site,Natural
K03,K09,-3.15368061091501,-1,Homogeneous Selection,Kenya,D,Natural,Kenya,D,Natural,within_site,Natural
K03,K10,-1.77781076132775,-0.65,Undominated,Kenya,D,Natural,Kenya,D,Farm,within_site,cross_landuse
K03,K11,-1.96362443052348,0.12,Undominated,Kenya,D,Natural,Kenya,D,Farm,within_site,cross_landuse
K03,K12,-2.00860439771671,-0.26,Homogeneous Selection,Kenya,D,Natural,Kenya,D,Farm,within_site,cross_landuse
K03,K13,-1.46362519213751,-0.39,Undominated,Kenya,D,Natural,Kenya,D,Farm,within_site,cross_landuse
K03,K14,-1.81216094494845,0.27,Undominated,Kenya,D,Natural,Kenya,D,Farm,within_site,cross_landuse
K03,K15,-1.99113758919203,0.41,Undominated,Kenya,D,Natural,Kenya,D,Farm,within_site,cross_landuse
K03,K16,-1.97598495232082,-0.05,Undominated,Kenya,D,Natural,Kenya,D,Farm,within_site,cross_landuse
K03,K17,-2.49213591402368,0.61,Homogeneous Selection,Kenya,D,Natural,Kenya,D,Farm,within_site,cross_landuse
K03,K18,-1.49660894937982,-0.22,Undominated,Kenya,D,Natural,Kenya,D,Farm,within_site,cross_landuse
K03,K19,-1.83199633940109,-0.52,Undominated,Kenya,D,Natural,Kenya,E,Natural,across_site_within_country,Natural
K03,K20,-1.84645236341648,-0.11,Undominated,Kenya,D,Natural,Kenya,E,Natural,across_site_within_country,Natural
K03,K21,-2.78193893343839,-0.58,Homogeneous Selection,Kenya,D,Natural,Kenya,E,Natural,across_site_within_country,Natural
K03,K22,-1.91106968299196,0.99,Dispersal Limitation,Kenya,D,Natural,Kenya,E,Natural,across_site_within_country,Natural
K03,K23,-1.89962099971384,0.99,Dispersal Limitation,Kenya,D,Natural,Kenya,E,Natural,across_site_within_country,Natural
K03,K24,-1.72605011750261,0.65,Undominated,Kenya,D,Natural,Kenya,E,Natural,across_site_within_country,Natural
K03,K25,-1.98035534352639,0.99,Dispersal Limitation,Kenya,D,Natural,Kenya,E,Natural,across_site_within_country,Natural
K03,K26,-1.9785105532272,0.76,Undominated,Kenya,D,Natural,Kenya,E,Natural,across_site_within_country,Natural
K03,K27,-1.83319688452536,0.98,Dispersal Limitation,Kenya,D,Natural,Kenya,E,Natural,across_site_within_country,Natural
K03,K28,-2.07236999602955,0.87,Homogeneous Selection,Kenya,D,Natural,Kenya,E,Farm,across_site_within_country,cross_landuse
K03,K29,-1.89740402677267,0.92,Undominated,Kenya,D,Natural,Kenya,E,Farm,across_site_within_country,cross_landuse
K03,K30,-1.80963175585577,0.53,Undominated,Kenya,D,Natural,Kenya,E,Farm,across_site_within_country,cross_landuse
K03,K31,-1.99223664284903,0.77,Undominated,Kenya,D,Natural,Kenya,E,Farm,across_site_within_country,cross_landuse
K03,K32,-2.04602705150949,0.37,Homogeneous Selection,Kenya,D,Natural,Kenya,E,Farm,across_site_within_country,cross_landuse
K03,K33,-1.90738298392471,0.68,Undominated,Kenya,D,Natural,Kenya,E,Farm,across_site_within_country,cross_landuse
K03,K34,-1.81160240929166,0.24,Undominated,Kenya,D,Natural,Kenya,E,Farm,across_site_within_country,cross_landuse
K03,K35,-1.83962030830158,0.73,Undominated,Kenya,D,Natural,Kenya,E,Farm,across_site_within_country,cross_landuse
K03,K36,-1.65788940354806,0.4,Undominated,Kenya,D,Natural,Kenya,E,Farm,across_site_within_country,cross_landuse
K03,K37,-1.84413703836979,0.98,Dispersal Limitation,Kenya,D,Natural,Kenya,F,Natural,across_site_within_country,Natural
K03,K38,-1.7340258068682,1,Dispersal Limitation,Kenya,D,Natural,Kenya,F,Natural,across_site_within_country,Natural
K03,K39,-1.42840683171627,0.99,Dispersal Limitation,Kenya,D,Natural,Kenya,F,Natural,across_site_within_country,Natural
K03,K40,-1.59491170148972,1,Dispersal Limitation,Kenya,D,Natural,Kenya,F,Natural,across_site_within_country,Natural
K03,K41,-1.79989401152969,0.99,Dispersal Limitation,Kenya,D,Natural,Kenya,F,Natural,across_site_within_country,Natural
K03,K42,-1.71979311747919,0.88,Undominated,Kenya,D,Natural,Kenya,F,Natural,across_site_within_country,Natural
K03,K43,-1.53181524435201,0.99,Dispersal Limitation,Kenya,D,Natural,Kenya,F,Natural,across_site_within_country,Natural
K03,K44,-1.5330344553722,0.47,Undominated,Kenya,D,Natural,Kenya,F,Natural,across_site_within_country,Natural
K03,K45,-1.7597016597984,0.92,Undominated,Kenya,D,Natural,Kenya,F,Natural,across_site_within_country,Natural
